Precision,Recall
1.0,0.0
1.0,0.01785714365541935
1.0,0.0357142873108387
1.0,0.0535714291036129
1.0,0.0714285746216774
1.0,0.0892857164144516
1.0,0.1071428582072258
1.0,0.125
0.9714285714285714,0.125
0.9714285714285714,0.1428571492433548
0.9714285714285714,0.1607142835855484
0.9714285714285714,0.1785714328289032
0.9714285714285714,0.1964285671710968
0.9714285714285714,0.2142857164144516
0.9714285714285714,0.2321428507566452
0.9714285714285714,0.25
0.9714285714285714,0.2678571343421936
0.9714285714285714,0.2857142984867096
0.9714285714285714,0.3035714328289032
0.9714285714285714,0.3214285671710968
0.9714285714285714,0.3392857015132904
0.9714285714285714,0.3571428656578064
0.9714285714285714,0.375
0.9714285714285714,0.3928571343421936
0.9714285714285714,0.4107142984867096
0.9714285714285714,0.4285714328289032
0.9714285714285714,0.4464285671710968
0.9714285714285714,0.4642857015132904
0.9714285714285714,0.4821428656578064
0.9714285714285714,0.5
0.9714285714285714,0.5178571343421936
0.9714285714285714,0.5357142686843872
0.9714285714285714,0.5535714030265808
0.9714285714285714,0.5714285969734192
0.9714285714285714,0.5892857313156128
0.9714285714285714,0.6071428656578064
0.0,1.0
